City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
127,misratah,32.3754,15.0925,20.04,72,100,6.2,LY,1715141260
128,dudinka,69.4058,86.1778,-6.85,87,48,3.58,RU,1715141260
129,papatowai,-46.5619,169.4708,6.44,76,100,7.22,NZ,1715141260
130,murshidabad,24.1833,88.2667,32.13,46,29,3.44,IN,1715141260
131,ulsteinvik,62.3432,5.8487,9.31,94,100,1.42,NO,1715141260
132,bafia,4.75,11.2333,22.36,96,100,0.33,CM,1715141261
133,fortaleza,-3.7227,-38.5247,27.07,89,40,2.06,BR,1715141261
134,bulgan,48.8125,103.5347,9.1,43,100,2.3,MN,1715141261
135,vilyuchinsk,52.9306,158.4028,1.63,96,100,3.78,RU,1715141261
136,tolanaro,-25.0319,46.9987,22.43,78,62,5.65,MG,1715141262
137,hammerfest,70.6634,23.6821,-0.75,59,0,3.6,NO,1715141262
138,namtsy,62.7161,129.6658,3.9,74,100,3.68,RU,1715141262
139,gaiman,-43.2897,-65.4929,6.12,61,100,8.97,AR,1715141262
140,stepnoye,51.4,46.8667,13.06,80,66,8.05,RU,1715141262
141,rongelap,11.1635,166.8941,27.5,78,88,8.07,MH,1715141263
142,tazovsky,67.4667,78.7,-7.15,89,42,5.76,RU,1715141263
143,glen innes,-29.7333,151.7333,15.5,59,38,4.35,AU,1715141263
144,maputo,-25.9653,32.5892,16.82,94,20,2.06,MZ,1715141263
145,crane,31.3974,-102.3501,26.73,15,70,2.62,US,1715141263
146,san luis de la loma,17.2706,-100.8939,25.85,66,31,3.14,MX,1715141263
147,la gi,10.6667,107.7833,32.78,58,13,7.93,VN,1715141264
148,port saint john's,-31.6229,29.5448,21.44,84,14,7.65,ZA,1715141264
149,kavieng,-2.5744,150.7967,27.86,85,100,8.74,PG,1715141264
150,ancud,-41.8697,-73.8203,7.11,71,58,2.28,CL,1715141264
151,badger,64.8,-147.5333,10.93,52,75,1.34,US,1715141264
152,port alfred,-33.5906,26.891,17.88,94,99,3.13,ZA,1715141265
153,dzuunharaa,48.8523,106.4579,12.74,33,100,4.15,MN,1715141265
